what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1312992907409
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1312992907409
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1312992907424
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1312992907455
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1312992907580
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1312992907580
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1312992907658
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1312992907658
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1312992907845
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1312992907908
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1312992907970
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1312992908048
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1312992908157
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1312992908267
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1312992908313
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1312992908423
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1312992908469
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1312992908516
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1312992908594
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1312992908594
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1312992908688
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1312992908766
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1312992908766
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1312992908906
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1312992908922
os,sysinfo,,,"win32",1312992908922
arch,sysinfo,,,"x86",1312992908922
ws,sysinfo,,,"win32",1312992908922
locale,sysinfo,,,"en_US",1312992908922
processors,sysinfo,,,"2",1312992908922
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312992908922
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1312992908922
java.specification.name,sysinfo,,,"Java Platform API Specification",1312992908922
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312992908922
java.specification.version,sysinfo,,,"1.6",1312992908922
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312992908922
java.version,sysinfo,,,"1.6.0_26",1312992908922
java.vm.info,sysinfo,,,"mixed mode, sharing",1312992908922
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312992908922
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312992908922
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312992908922
java.vm.specification.version,sysinfo,,,"1.0",1312992908922
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312992908922
java.vm.version,sysinfo,,,"20.1-b02",1312992908922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312992919748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312992943679
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1312992943725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312992952602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312992955347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1312992955363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312992959123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312992990525
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1312992991181
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1312992991227
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1312992993411
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1312992994098
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1312992995143
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312992995517
